codigo,nombre,grado_origen,curso_dtie,cuatrimestre,grupo_origen
508101009,FUNDAMENTOS DE FABRICACIÓN,GIM,1,2C,1
524101001,MATEMÁTICAS I,GIDI,1,1C,1
524101002,FÍSICA I,GIDI,1,1C,1
524101003,EXPRESIÓN GRÁFICA,GIDI,1,1C,1
524101005,ESTÉTICA E HISTORIA DEL DISEÑO,GIDI,1,1C,1
524101006,METODOLOGÍAS BIM EN CONSTRUCCIÓN,GIDI,1,1C,1
524101007,MATEMÁTICAS II,GIDI,1,2C,1
524101008,FÍSICA II,GIDI,1,2C,1
524101009,ESTADÍSTICA APLICADA,GIDI,1,2C,1
524101012,METODOLOGIAS BIM EN INSTALACIONES,GIDI,1,2C,1
524102001,QUÍMICA GENERAL,GIDI,1,1C,1
524102008,CIENCIA E INGENIERÍA DE LOS MATERIALES,GIDI,1,2C,1
508102010,ELASTICIDAD Y RESISTENCIA DE MATERIALES,GIM,2,2C,1
524101011,METODOLOGÍA DEL DISEÑO Y CREATIVIDAD,GIDI,2,2C,1
524102002,MATEMÁTICAS III,GIDI,2,1C,1
524102003,DISEÑO INDUSTRIAL I,GIDI,2,1C,1
524102004,RESISTENCIA DE MATERIALES,GIDI,2,1C,1
524102005,INGENIERÍA DE LOS SISTEMAS DE PRODUCCIÓN,GIDI,2,1C,1
524102006,TERMODINÁMICA APLICADA,GIDI,2,1C,1
524102007,ORGANIZACIÓN Y GESTIÓN DE EMPRESAS,GIDI,2,2C,1
524102009,DISEÑO INDUSTRIAL II,GIDI,2,2C,1
524102011,REGULACIÓN AUTOMÁTICA,GIDI,2,2C,1
524103002,MECÁNICA DE MÁQUINAS,GIDI,2,1C,1
524103007,TRANSMISIÓN DEL CALOR,GIDI,2,2C,1
524103012,FABRICACIÓN ADITIVA,GIDI,2,2C,1
508103002,TEORÍA DE MECANISMOS Y MÁQUINAS,GIM,3,1C,1
508103003,TEORÍA DE ESTRUCTURAS,GIM,3,1C,1
508103008,CONSTRUCCIONES INDUSTRIALES I,GIM,3,2C,1
508103009,INGENIERÍA DE FABRICACIÓN,GIM,3,2C,1
508103011,DISEÑO DE ELEMENTOS DE MÁQUINAS I,GIM,3,1C,1
508103012,DISEÑO DE ELEMENTOS DE MÁQUINAS II,GIM,3,2C,1
524101004,EXPRESIÓN ARTÍSTICA,GIDI,3,1C,1
524102010,TECNOLOGÍA ELÉCTRICA,GIDI,3,2C,1
524102012,TALLER DE DISEÑO I,GIDI,3,2C,1
524103003,TECNOLOGÍA MEDIOAMBIENTAL,GIDI,3,1C,1
524103004,"MERCADO, INNOVACIÓN Y PROTECCIÓN DEL DISEÑO",GIDI,3,1C,1
524103008,MECÁNICA DE FLUIDOS,GIDI,3,2C,1
508103004,INGENIERÍA DE FLUIDOS Y MÁQUINAS HIDRÁULICAS,GIM,4,A,1
508103006,MATERIALES EN INGENIERÍA,GIM,4,1C,1
524101010,INGLÉS TÉCNICO,GIDI,4,2C,1
524103001,INFORMÁTICA APLICADA,GIDI,4,1C,1
524103006,DIGITALIZACIÓN Y MODELIZACIÓN DE PRODUCTOS,GIDI,4,1C,1
524103010,DISEÑO MECÁNICO DEL PRODUCTO,GIDI,4,2C,1
524103011,DISEÑO ERGONÓMICO Y FIABILIDAD DEL PRODUCTO,GIDI,4,2C,1
524104002,FUNDAMENTOS DE ELECTRÓNICA INDUSTRIAL,GIDI,4,1C,1
524104006,FABRICACIÓN DE PROTOTIPOS I,GIDI,4,1C,1
524104009,"REALIDAD VIRTUAL, AUMENTADA Y MIXTA",GIDI,4,2C,1
524104010,TALLER DE DISEÑO II,GIDI,4,2C,1
524104011,DISEÑO GRÁFICO Y COMUNICACIÓN,GIDI,4,2C,1
508104003,MÁQUINAS TÉRMICAS,GIM,5,1C,1
524103005,FUNDAMENTOS DEL MEF EN DISEÑO INDUSTRIAL,GIDI,5,1C,1
524104001,PROYECTOS DE INGENIERÍA,GIDI,5,1C,1
524104005,MATERIALES AVANZADOS,GIDI,5,1C,1
524104007,ENVASES Y EMBALAJES,GIDI,5,1C,1
524103009,DISEÑO ASISTIDO POR ORDENADOR,GIDI,3,2C,1
524104004,SISTEMAS AVANZADOS DE FABRICACIÓN,GIDI,4,1C,1
524104008,FABRICACIÓN DE PROTOTIPOS II,GIDI,4,2C,1
524104003,INGENIERÍA DE LA CALIDAD,GIDI,5,1C,1
